pID,freqVR,freqPCGame,PointMental_task1to4,PointPhysical_task1to4,PointTemporal_task1to4,PointEffort_task1to4,PointPerformance_task1to4,PointFrustration_task1to4,PointMental_task5,PointPhysical_task5,PointTemporal_task5,PointEffort_task5,PointPerformance_task5,PointFrustration_task5,BrushMental_task1to4,BrushPhysical_task1to4,BrushTemporal_task1to4,BrushEffort_task1to4,BrushPerformance_task1to4,BrushFrustration_task1to4,BrushMental_task5,BrushPhysical_task5,BrushTemporal_task5,BrushEffort_task5,BrushPerformance_task5,BrushFrustration_task5,PaintMental_task1to4,PaintPhysical_task1to4,PaintTemporal_task1to4,PaintEffort_task1to4,PaintPerformance_task1to4,PaintFrustration_task1to4,PaintMental_task5,PaintPhysical_task5,PaintTemporal_task5,PaintEffort_task5,PaintPerformance_task5,PaintFrustration_task5,BaselineMental_task1to4,BaselinePhysical_task1to4,BaselineTemporal_task1to4,BaselineEffort_task1to4,BaselinePerformance_task1to4,BaselineFrustration_task1to4,BaselineMental_task5,BaselinePhysical_task5,BaselineTemporal_task5,BaselineEffort_task5,BaselinePerformance_task5,BaselineFrustration_task5,tctPointRank,tctBrushRank,tctPaintRank,tctBaseLineRank,accPointRank,accBrushRank,accPaintRank,accBaseLineRank,featureSelectionPointRank,featureSelectionBrushRank,featureSelectionPaintRank,featureSelectionBaseLineRank,generalPointRank,generalBrushRank,generalPaintRank,generalBaseLineRank,D3PointRank,D3BrushRank,D3PaintRank,D3BaseLineRank,D1PointRank,D1BrushRank,D1PaintRank,D1BaseLineRank,D2PointRank,D2BrushRank,D2PaintRank,D2BaseLineRank,D4PointRank,D4BrushRank,D4PaintRank,D4BaseLineRank,D5PointRank,D5BrushRank,D5PaintRank,D5BaseLineRank
10,3,3,1,1,1,3,5,3,5,5,5,4,3,4,3,2,3,3,4,2,1,2,1,3,4,3,1,1,1,1,5,1,6,6,6,5,1,6,4,5,3,4,2,3,3,3,2,4,4,3,3,4,2,1,3,1,4,2,3,1,4,2,2,1,3,4,2,3,1,4,2,3,1,4,4,2,3,1,3,2,1,4,4,1,3,2
11,1,2,2,1,1,0,6,0,5,6,5,6,2,2,3,4,3,4,4,3,0,1,1,0,6,0,1,0,0,0,6,0,6,4,3,5,2,3,3,6,5,6,4,3,6,4,5,5,2,3,4,2,1,3,3,1,2,4,3,2,1,4,3,2,1,4,2,3,1,4,1,3,2,4,4,1,2,3,4,1,2,3,3,2,4,1
12,1,3,2,4,1,5,6,2,5,4,3,6,2,4,1,4,0,2,6,1,3,2,4,2,5,0,1,1,1,2,6,0,4,4,1,5,1,3,2,5,4,6,6,0,5,4,4,5,3,1,2,3,1,4,1,3,2,4,3,4,2,1,3,4,1,2,2,3,1,4,3,1,2,4,4,2,3,1,3,2,1,4,3,1,4,2
13,3.5,3,1,1,0,1,5,0,4,2,3,4,3,3,2,2,1,3,5,0,3,1,1,1,5,0,1,0,0,2,5,0,4,2,1,3,3,3,3,5,5,5,3,1,6,5,3,4,3,3,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,2,1,3,4,2,3,1,4,3,1,2,4
14,1,4,3,4,3,4,3,5,6,2,4,4,0,3,4,5,5,5,3,3,1,0,0,1,1,0,1,1,0,1,5,1,5,5,4,5,1,3,2,6,5,6,0,5,6,3,2,3,1,2,3,2,1,4,3,2,1,4,4,2,3,1,3,2,1,4,3,2,1,4,3,2,1,4,2,3,1,4,2,3,1,4,4,3,1,2
15,4,4,2,1,3,2,4,3,4,3,3,4,2,3,3,3,2,3,4,3,3,4,3,3,4,3,2,1,3,3,4,2,3,1,3,1,3,3,5,6,2,5,3,4,4,4,3,5,1,4,2,3,1,4,4,2,3,1,4,1,2,3,2,3,1,4,2,3,1,4,2,3,1,4,3,1,2,4,2,3,1,4,3,1,4,2
16,3,4,4,4,2,3,3,2,4,3,3,5,2,4,4,4,4,5,3,3,3,2,3,3,4,3,3,2,0,3,5,3,4,3,3,5,3,4,3,5,4,5,2,4,3,3,3,4,4,3,3,2,1,4,3,4,2,1,4,3,2,1,3,2,1,4,2,4,1,3,3,2,1,4,4,1,2,3,3,1,2,4,2,4,3,1
17,3,4,0,1,0,0,0,0,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,6,5,6,6,6,6,0,6,6,6,6,6,1,6,3,6,6,6,5,6,4,2,3,1,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,4,2,3,1
18,1,3,0,0,0,0,6,0,6,3,6,6,4,6,0,0,0,0,6,0,6,2,3,2,4,0,0,0,3,1,6,1,6,6,6,6,0,6,2,4,4,4,4,3,6,4,4,6,2,5,1,3,2,4,2,1,3,4,4,1,2,3,2,1,3,4,2,3,1,4,2,3,1,4,3,1,4,2,2,3,1,4,4,1,3,2
19,1,4,1,2,0,1,4,1,5,4,5,5,3,5,1,0,0,1,5,1,1,2,3,3,4,1,0,1,0,0,5,0,2,1,3,2,3,4,2,4,4,6,2,4,4,3,1,2,5,2,1,3,2,4,3,2,4,1,1,3,2,4,1,2,4,3,3,2,1,4,2,3,1,4,4,1,3,2,2,3,1,4,4,1,3,2
20,4,4,1,2,0,2,4,0,4,5,3,4,2,3,4,3,4,4,2,3,3,1,1,1,4,1,1,0,0,1,5,1,2,1,2,3,4,1,6,6,5,6,3,5,4,5,5,4,2,3,3,2,1,4,2,3,1,4,3,2,1,4,2,3,1,4,2,3,1,4,2,3,1,4,3,1,2,4,2,3,1,4,3,2,1,4
21,3,3,4,2,1,1,5,0,4,4,1,4,2,1,4,5,4,4,5,2,5,4,2,5,5,2,3,5,5,4,5,4,4,6,4,6,1,1,1,5,3,6,1,3,4,4,2,4,3,1,2,3,1,4,1,3,2,4,2,3,1,4,1,3,2,4,2,3,1,4,1,3,2,4,2,3,1,4,1,3,2,4,4,2,3,1
22,4,3,1,1,1,2,4,1,2,1,1,3,3,1,1,1,1,2,4,1,2,1,1,1,4,1,2,1,1,2,4,1,3,1,3,4,2,2,2,4,1,4,3,1,3,1,2,3,2,1,3,1,2,4,2,1,3,4,3,1,4,2,3,1,2,4,3,2,1,4,3,1,2,4,2,1,3,4,2,1,3,4,4,1,3,2
23,0,4,1,0,0,1,3,1,1,0,3,2,2,3,1,1,2,2,5,2,1,2,2,3,4,2,0,0,0,1,5,0,1,2,1,2,4,3,1,3,3,6,5,2,3,2,0,1,4,0,3,2,1,4,2,1,3,4,2,1,3,4,4,2,1,3,2,3,1,4,3,2,1,4,3,1,2,4,3,2,1,4,2,3,4,1
24,2,3,2,2,2,2,3,3,5,4,3,4,2,4,4,4,2,5,2,4,2,1,1,2,3,2,1,1,1,2,4,2,3,2,1,2,2,1,1,5,1,4,4,3,5,3,1,3,2,2,2,4,1,3,2,3,1,4,2,3,1,4,3,4,1,2,2,3,1,4,2,3,1,4,4,3,2,1,3,4,1,2,3,4,2,1
25,2,3,0,0,0,1,1,1,2,1,3,0,0,2,1,0,0,1,5,0,4,1,3,3,4,0,0,0,0,0,1,0,4,1,4,4,2,2,3,2,2,3,2,4,3,3,4,3,1,4,1,3,2,4,3,2,1,4,4,2,1,3,3,2,1,4,2,3,1,4,1,3,2,4,4,1,2,3,2,3,1,4,4,1,2,3
26,1,4,1,2,2,1,5,0,3,4,5,5,2,4,3,2,2,4,4,2,4,4,3,3,3,2,0,1,1,1,5,0,1,2,1,1,4,1,1,2,2,2,4,0,1,1,1,2,3,1,4,3,2,1,3,4,2,1,4,3,2,1,4,3,2,1,3,4,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1
27,3,2,2,2,3,1,3,2,2,1,2,2,2,2,3,2,1,3,3,2,2,3,2,3,5,3,2,2,3,2,1,3,3,2,3,6,3,4,3,4,3,4,4,5,5,5,6,4,1,1,3,1,2,4,2,1,4,3,3,1,2,4,2,1,3,4,1,3,2,4,1,3,2,4,3,1,2,4,1,2,3,4,2,1,3,4
28,3,2,4,4,1,4,5,1,6,6,1,5,3,1,5,5,3,4,3,1,5,5,1,6,5,1,2,2,1,1,5,1,3,3,2,1,3,2,6,6,4,6,1,6,6,6,3,5,1,4,3,2,1,4,3,2,4,1,3,2,1,4,3,2,1,4,2,3,1,4,2,3,1,4,2,3,1,4,1,3,2,4,3,2,4,1
29,0,3,1,1,0,1,5,1,2,2,2,4,2,4,3,4,1,3,4,1,4,4,2,5,3,2,3,3,1,2,5,0,4,4,5,5,1,5,4,5,4,4,4,2,6,4,3,4,3,3,1,3,2,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,4,1,3,2,4,4,1,3,2,2,3,1,4,4,1,3,2
30,2,3,0,0,0,1,1,1,2,1,3,0,0,2,1,0,0,1,5,0,4,1,3,3,4,0,0,0,0,0,1,0,4,1,4,4,2,2,3,2,2,3,2,4,3,3,4,3,1,4,1,3,2,4,3,2,1,4,4,2,1,3,3,2,1,4,2,3,1,4,1,3,2,4,4,1,2,3,2,3,1,4,4,1,2,3
31,2,2,0,1,1,1,5,0,6,6,4,5,2,2,3,4,1,4,3,0,1,1,1,1,4,1,0,1,1,1,5,0,5,5,5,5,4,3,1,4,3,5,4,0,6,5,3,4,3,2,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3,4,2,3,1,4,1,3,2,4,2,1,3,4,2,1,3,4,4,1,3,2
